Date,Avg_Temp,Quality,均質番号
1946/9,17.2,8,1
1946/10,11.7,8,1
1946/11,5.2,8,1
1946/12,-2.8,8,1
1947/1,-4.4,8,1
1947/2,-5.2,8,1
1947/3,-1.4,8,1
1947/4,5.9,8,1
1947/5,11.3,8,1
1947/6,14.5,8,1
1947/7,20.4,8,1
1947/8,21.1,8,1
1947/9,15.9,8,1
1947/10,9.6,8,1
1947/11,2.4,8,1
1947/12,-4.4,8,1
1948/1,-2.4,8,1
1948/2,-4.1,8,1
1948/3,-0.4,8,1
1948/4,8.0,8,1
1948/5,13.5,8,1
1948/6,16.4,8,1
1948/7,21.8,8,1
1948/8,23.7,8,1
1948/9,17.1,8,1
1948/10,10.5,8,1
1948/11,3.5,8,1
1948/12,-0.2,8,1
1949/1,-1.9,8,1
1949/2,-1.4,8,1
1949/3,-2.1,8,1
1949/4,4.2,8,1
1949/5,13.1,8,1
1949/6,15.2,8,1
1949/7,20.4,8,1
1949/8,23.5,8,1
1949/9,17.7,8,1
1949/10,10.7,8,1
1949/11,2.8,8,1
1949/12,-3.6,8,1
1950/1,-4.8,8,1
1950/2,-3.1,8,1
1950/3,-0.4,8,1
1950/4,6.8,8,1
1950/5,12.5,8,1
1950/6,16.4,8,1
1950/7,22.8,8,1
1950/8,24.0,8,1
1950/9,17.1,8,1
1950/10,8.3,8,1
1950/11,3.7,8,1
1950/12,-2.9,8,1
1951/1,-6.3,8,1
1951/2,-5.0,8,1
1951/3,-1.2,8,1
1951/4,5.8,8,1
1951/5,12.2,8,1
1951/6,15.9,8,1
1951/7,19.7,8,1
1951/8,24.0,8,1
1951/9,15.6,8,1
1951/10,9.7,8,1
1951/11,4.0,8,1
1951/12,-0.5,8,1
1952/1,-4.8,8,1
1952/2,-6.9,8,1
1952/3,-1.4,8,1
1952/4,6.1,8,1
1952/5,11.4,8,1
1952/6,16.4,8,1
1952/7,20.4,8,1
1952/8,21.3,8,1
1952/9,16.4,8,1
1952/10,10.5,8,1
1952/11,1.5,8,1
1952/12,-6.0,8,1
1953/1,-6.6,8,1
1953/2,-6.1,8,1
1953/3,0.1,8,1
1953/4,5.5,8,1
1953/5,11.3,8,1
1953/6,15.5,8,1
1953/7,20.1,8,1
1953/8,20.2,8,1
1953/9,16.8,8,1
1953/10,10.3,8,1
1953/11,0.3,8,1
1953/12,-1.8,8,1
1954/1,-5.4,8,1
1954/2,-3.1,8,1
1954/3,-1.3,8,1
1954/4,6.8,8,1
1954/5,10.6,8,1
1954/6,13.8,8,1
1954/7,17.7,8,1
1954/8,20.6,8,1
1954/9,18.0,8,1
1954/10,9.4,8,1
1954/11,3.7,8,1
1954/12,-0.7,8,1
1955/1,-5.8,8,1
1955/2,-3.7,8,1
1955/3,-0.8,8,1
1955/4,6.0,8,1
1955/5,10.2,8,1
1955/6,16.3,8,1
1955/7,23.7,8,1
1955/8,22.3,8,1
1955/9,16.2,8,1
1955/10,10.8,8,1
1955/11,3.8,8,1
1955/12,-0.1,8,1
1956/1,-5.2,8,1
1956/2,-4.6,8,1
1956/3,0.0,8,1
1956/4,6.3,8,1
1956/5,14.0,8,1
1956/6,14.9,8,1
1956/7,18.2,8,1
1956/8,19.1,8,1
1956/9,17.5,8,1
1956/10,11.9,8,1
1956/11,3.5,8,1
1956/12,-3.8,8,1
1957/1,-4.2,8,1
1957/2,-5.1,8,1
1957/3,-1.9,8,1
1957/4,6.5,8,1
1957/5,12.1,8,1
1957/6,14.1,8,1
1957/7,19.7,8,1
1957/8,21.6,8,1
1957/9,15.7,8,1
1957/10,10.8,8,1
1957/11,5.3,8,1
1957/12,-0.1,8,1
1958/1,-3.8,8,1
1958/2,-2.4,8,1
1958/3,-0.5,8,1
1958/4,5.8,8,1
1958/5,11.4,8,1
1958/6,15.9,8,1
1958/7,20.1,8,1
1958/8,20.8,8,1
1958/9,16.9,8,1
1958/10,10.4,8,1
1958/11,4.2,8,1
1958/12,0.0,8,1
1959/1,-5.4,8,1
1959/2,-1.9,8,1
1959/3,1.6,8,1
1959/4,8.4,8,1
1959/5,12.9,8,1
1959/6,15.7,8,1
1959/7,20.1,8,1
1959/8,21.3,8,1
1959/9,17.2,8,1
1959/10,11.3,8,1
1959/11,3.4,8,1
1959/12,-2.4,8,1
1960/1,-6.2,8,1
1960/2,-3.2,8,1
1960/3,-0.4,8,1
